,type,amount
2687,sale_full,13393
2688,sale_full,14388
2689,purchase,5719
2690,sale_full,4561
2691,sale_full,5484
2692,sale_full,2930
2693,sale_partial,5989
2694,purchase,11578
2695,sale_partial,3733
2696,sale_full,660446
2697,sale_full,436390
2698,sale_partial,682975
2699,purchase,13531
2700,sale_partial,2327
2701,purchase,2121
2702,purchase,12231
2703,purchase,6562
2704,purchase,13429
2705,purchase,3128
2706,sale_full,14971
2707,purchase,1804
2708,purchase,7773
2709,sale_full,5781
2710,purchase,14654
2711,purchase,9467
2712,purchase,13637
2713,purchase,6940
2714,sale_full,6522
2715,sale_full,12434
2716,sale_partial,14740
2717,purchase,10168
2718,purchase,7597
2719,purchase,10637
2720,sale_full,12536
2721,purchase,13008
2722,purchase,1761
2723,sale_full,44698
2724,purchase,14702
2725,sale_full,7329
2726,sale_full,9792
2727,purchase,7691
2728,sale_full,10682
2729,purchase,13396
2730,purchase,1151
2731,purchase,6760
2732,purchase,1769
2733,purchase,13005
2734,purchase,11319
2735,purchase,11317
2736,sale_full,323393
2737,purchase,11646
2738,sale_partial,14906
2739,purchase,34467
2740,sale_full,5258
2741,purchase,9281
2742,sale_full,7882
2743,sale_partial,40504
2744,purchase,12680
2745,purchase,4920
2746,purchase,7475
2747,purchase,8602
2748,sale_full,13330
2749,purchase,8164
2750,purchase,2936
2751,purchase,14364
2752,sale_partial,9426
2753,purchase,2055
2754,purchase,13671
2755,sale_full,9033
2756,purchase,12759
2757,purchase,10804
2758,sale_full,14114
2759,sale_full,14703
2760,sale_full,5897
2761,sale_partial,5490
2762,sale_full,5126
2763,purchase,9892
2764,purchase,8361
2765,sale_partial,2989
2766,sale_full,9353
2767,purchase,12344
2768,sale_full,8055
2769,sale_full,13274
2770,purchase,4980
2771,purchase,8869
2772,purchase,13851
2773,purchase,14907
2774,purchase,12535
2775,sale_full,10684
2776,purchase,6750
2777,purchase,12911
2778,sale_partial,6324
2779,sale_partial,27143
2780,sale_partial,6401
2781,purchase,15283
2782,sale_full,3993
2783,sale_full,7536
2784,purchase,4477
2785,purchase,8151
2786,purchase,5256
2787,purchase,11083
2788,purchase,8043
2789,purchase,8265
2790,purchase,46517
2791,purchase,26134
2792,purchase,13813
2793,exchange,6783
2794,exchange,2558
2795,purchase,226473
2796,purchase,157491
2797,purchase,182817
2798,purchase,240648
2799,purchase,17365
2800,purchase,382407
2801,purchase,161839
2802,purchase,34540
2803,purchase,118218
2804,purchase,22156
2805,purchase,149618
2806,purchase,208241
2807,purchase,46261
2828,purchase,40675
2829,sale_full,42678
2830,purchase,18500
2831,sale_full,238977
2832,purchase,97220
2833,purchase,38230
2834,sale_full,96829
2835,sale_full,21642
2836,purchase,86936
2837,purchase,17399
2838,purchase,23923
2839,purchase,68732
2840,sale_full,82644
2841,sale_full,24826
2842,purchase,3261
2843,purchase,84748
2844,purchase,49611
2845,purchase,9366
2846,purchase,42414
2847,purchase,28560
2848,sale_partial,260
2849,sale_partial,2
2850,sale_partial,2040
2851,sale_partial,458
2852,sale_partial,12914
2853,sale_partial,11736
2854,sale_partial,3186
2855,sale_partial,3
2856,sale_partial,169
2857,sale_partial,969
2858,sale_partial,668
2859,sale_partial,600
2860,sale_partial,635
2861,sale_partial,547
2883,sale_full,165667
2884,purchase,58885
2885,purchase,20242
2886,purchase,47084
2887,purchase,14471
2888,purchase,32471
2889,purchase,11699
2890,purchase,3267
2891,purchase,9153
2892,purchase,12065
2893,purchase,26532
2894,purchase,61855
2895,sale_full,65525
2896,sale_full,29860
2897,purchase,37136
2898,purchase,36490
2899,purchase,46496
2900,purchase,23995
2901,purchase,13368
2902,purchase,42439
2903,purchase,30490
2904,purchase,6178
2905,purchase,12411
2906,purchase,58327
2907,purchase,98446
2908,purchase,90315
2909,purchase,48993
2910,purchase,39431
2911,sale_full,104416
2912,purchase,55809
2913,purchase,85854
2914,purchase,15168
2915,purchase,3027
2916,purchase,3076
2917,purchase,7168
2918,purchase,7765
2919,purchase,4527
2920,purchase,8586
2921,purchase,13108
2922,purchase,6930
2923,purchase,11749
2924,purchase,10549
2925,purchase,6152
2926,purchase,22309
2927,purchase,5363
2928,purchase,10982
2929,purchase,8837
2930,sale_full,9486
2931,purchase,13731
2932,purchase,5325
2933,purchase,12470
2934,purchase,12898
2935,purchase,19284
2936,purchase,25785
2937,sale_full,67723
2938,purchase,5001
2939,purchase,39330
2940,purchase,161805
2941,sale_full,11602
2942,purchase,10074
2943,sale_partial,6211
2944,purchase,10134
2945,sale_full,12399
2946,sale_partial,10474
2947,sale_partial,6735
2948,sale_partial,4082
2949,sale_partial,11902
2950,sale_partial,7167
2951,purchase,12872
2952,sale_partial,12188
2953,sale_partial,1874
2978,sale_full,25001
2979,purchase,3099
2983,purchase,3171
2984,sale_full,9799
2985,sale_full,13737
2986,sale_full,11833
2987,sale_full,11644
2988,sale_full,13969
3028,purchase,1875
3029,sale_full,40171
3030,sale_full,70392
3031,purchase,5603
3032,sale_full,2297
3033,purchase,7244
3034,sale_full,11161
3035,sale_full,93676
3036,sale_full,45381
3037,sale_full,15873
3038,sale_partial,1512
3039,exchange,349549
3040,exchange,421298
3041,exchange,304640
3042,exchange,497890
3043,purchase,13492
3044,purchase,108719
3045,purchase,88412
3046,purchase,62557
3047,purchase,241566
3048,purchase,53892
3049,purchase,83671
3050,purchase,165676
3051,purchase,178701
3052,purchase,236367
3053,purchase,54119
3054,purchase,9624
3055,purchase,1884
3056,purchase,5195
3057,sale_partial,449
3058,sale_partial,30
3059,sale_partial,11628
3060,sale_partial,763
3061,sale_partial,1727
3062,sale_partial,5935
3063,purchase,36
3064,sale_partial,714
3065,sale_partial,256
3066,sale_partial,316
3067,sale_partial,836
3068,sale_partial,523
3069,purchase,48
3070,sale_full,11318
3071,sale_full,28854
3072,purchase,110187
3075,purchase,523373
3076,purchase,905416
3077,purchase,419557
3079,purchase,33018
3080,purchase,11545
3081,purchase,5216
3082,purchase,12181
3083,purchase,22901
3084,purchase,42101
3085,purchase,1501
3086,purchase,10255
3087,sale_partial,8188
3088,purchase,3857
3089,purchase,5894
3090,purchase,14336
3091,purchase,38442
3092,purchase,30913
3093,sale_partial,4818
3094,purchase,2697
3095,sale_partial,2751
3096,purchase,6164
3097,sale_full,10238
3098,purchase,20118
3099,purchase,1243
3100,purchase,21762
3101,sale_partial,5117
3102,sale_partial,3975
3103,purchase,47699
3104,purchase,28698
3105,purchase,3153
3106,purchase,10866
3107,purchase,6204
3108,sale_full,5368
3109,purchase,14574
3110,sale_partial,3273
3111,sale_partial,8469
3112,sale_partial,7614
3113,purchase,13821
3114,purchase,15450
3115,purchase,1468
3116,sale_partial,4780
3117,purchase,14209
3118,sale_partial,10396
3119,exchange,14978
3120,sale_partial,1122
3121,sale_partial,8457
3122,purchase,15620
3123,purchase,32079
3124,purchase,15488
3125,purchase,15663
3126,purchase,47967
3127,sale_full,2582
3128,sale_full,1407
3129,sale_full,11198
3130,sale_full,3861
3131,purchase,8469
3132,purchase,7292
3133,purchase,1206
3134,purchase,11465
3135,purchase,6482
3136,purchase,9945
3137,purchase,7075
3138,purchase,11023
3139,purchase,3087
3140,purchase,5122
3141,sale_full,1035
3142,sale_full,15720
3143,sale_full,5550
3144,sale_full,11490
3145,purchase,6672
3146,purchase,3665
3147,purchase,7720
3148,purchase,18295
3149,sale_full,4101
3150,purchase,533
3151,purchase,48483
3152,sale_full,30861
3153,sale_full,44485
3154,purchase,8541
3155,purchase,5986
3156,sale_full,10341
3157,sale_full,14661
3158,purchase,978
3159,purchase,9630
3160,sale_partial,11376
3161,purchase,8173
3162,purchase,9090
3163,sale_partial,14744
3164,purchase,7001
3165,purchase,4162
3166,purchase,13948
3167,purchase,5560
3168,sale_full,10987
3169,purchase,7313
3170,sale_full,3859
3171,purchase,13589
3172,purchase,10548
3173,sale_partial,2726
3174,purchase,9810
3175,purchase,8603
3176,purchase,62375
3177,sale_partial,95617
3178,purchase,15904
3179,sale_partial,93191
3180,sale_full,200426
3181,purchase,67691
3182,sale_full,198080
3183,purchase,94864
3184,sale_full,13150
3185,sale_full,94330
3186,purchase,95028
3187,purchase,767
3188,sale_partial,859
3189,purchase,185
3190,purchase,1954
3191,sale_partial,4903
3192,purchase,10591
3193,sale_partial,599
3194,purchase,332
3195,sale_full,3971
3196,sale_full,12806
3197,sale_full,212833
3198,purchase,12734
3199,purchase,2553
3200,sale_partial,11496
3201,sale_partial,8647
3202,purchase,5508
3203,sale_full,13577
3204,purchase,6560
3205,sale_full,10857
3206,sale_partial,10436
3207,purchase,5043
3208,purchase,3507
3209,sale_partial,3218
3210,sale_full,14659
3211,sale_partial,1597
3212,sale_full,9039
3213,purchase,8918
3214,purchase,1609
3215,sale_partial,11097
3216,sale_partial,7669
3224,sale_full,2228
3225,purchase,9760
3226,purchase,3810
3227,sale_partial,4772
3228,purchase,13166
3229,purchase,4975
3230,purchase,11873
3231,purchase,4015
3232,sale_partial,10928
3233,sale_partial,6180
3234,sale_partial,3712
3235,purchase,4265
3236,purchase,12297
3237,sale_partial,9508
3238,purchase,6473
3239,sale_full,1643
3240,purchase,3140
3241,purchase,5209
3242,sale_full,3693
3243,sale_partial,2975
3244,sale_partial,11821
3245,sale_full,813
3283,purchase,854772
3284,sale_full,9208
3285,sale_full,5210
3286,sale_full,3696
3287,sale_full,9440
3288,sale_full,1786
3289,sale_full,11636
3290,sale_full,14229
3291,purchase,9851
3292,purchase,9797
3293,sale_full,737161
3294,sale_full,79711
3295,sale_full,49724
3296,purchase,41402
3297,purchase,10739
3298,purchase,24123
3299,purchase,88075
3300,purchase,44316
3301,sale_full,9834
3302,sale_full,12059
3303,sale_full,1862
3304,sale_full,10321
3305,sale_full,6653
3306,sale_full,11065
3307,sale_full,12475
3308,sale_full,14380
3309,sale_full,2979
3310,sale_full,10466
3311,sale_full,6735
3312,sale_full,3908
3313,sale_full,4091
3314,sale_full,2441
3315,sale_full,2622
3316,sale_full,10813
3317,sale_full,12959
3318,sale_full,8203
3319,sale_full,4582
3320,sale_full,14343
3321,sale_full,12372
3322,purchase,19974
3323,sale_full,4226
3324,sale_full,11470
3325,sale_full,9201
3326,sale_full,4275
3327,sale_full,2045
3328,sale_full,13086
3329,sale_full,2219
3330,sale_full,2961
3331,sale_full,1303
3332,sale_full,7147
3333,sale_full,2698
3334,sale_full,9667
3335,sale_full,14454
3336,sale_full,12357
3337,purchase,10749
3338,sale_full,8942
3339,sale_full,10885
3340,sale_full,8118
3341,sale_full,13365
3342,sale_full,11745
3343,sale_full,4365
3344,sale_full,2624
3345,sale_full,2750
3346,sale_full,3145
3347,sale_full,12091
3348,sale_full,13449
3349,sale_full,13454
3350,sale_full,14016
3351,sale_full,9468
3352,purchase,45815
3353,purchase,18655
3354,sale_full,9461
3355,sale_full,14967
3356,sale_full,1931
3357,purchase,13156
3358,purchase,11623
3359,purchase,2947
3360,purchase,14667
3361,sale_full,9142
3362,sale_full,32294
3363,sale_full,2013
3364,sale_full,14075
3365,sale_full,13456
3366,sale_full,48460
3367,sale_full,20213
3368,sale_full,18269
3369,sale_full,12863
3370,sale_full,8909
3371,sale_full,10839
3372,sale_full,6675
3373,sale_full,3194
3374,purchase,8892
3375,purchase,14174
3376,purchase,4239
3377,purchase,11049
3378,purchase,11471
3379,purchase,13286
3380,purchase,2234
3381,purchase,2254
3382,purchase,4720
3383,purchase,1066
3384,purchase,13754
3385,purchase,8263
3386,purchase,14985
3387,purchase,5336
3388,purchase,2392
3389,purchase,14821
3390,purchase,14350
3391,purchase,5268
3392,purchase,1912
3393,purchase,7197
3394,purchase,14373
3395,purchase,6656
3396,purchase,9462
3397,purchase,11404
3398,purchase,3116
3399,purchase,1404
3400,purchase,5112
3401,purchase,10450
3402,purchase,11848
3403,purchase,2075
3404,purchase,8600
3405,purchase,35088
3406,purchase,14820
3407,purchase,14073
3408,purchase,5316
3409,purchase,9644
3410,purchase,2243
3411,purchase,2992
3412,purchase,3337
3413,purchase,11282
3414,purchase,34846
3415,purchase,10007
3416,exchange,5721
3417,sale_full,32549
3418,purchase,41344
3419,purchase,6102
3420,sale_full,13239
3421,sale_partial,4967
3422,sale_partial,14750
3423,purchase,10799
3424,sale_full,12716
3425,purchase,5410
3426,purchase,13936
3433,sale_full,17447
3434,purchase,7661
3435,sale_full,40678
3436,purchase,6636
3437,purchase,6573
3438,purchase,7144
3500,sale_full,7616
3501,purchase,8578
3502,purchase,5504
3503,sale_full,13226
3504,sale_full,3481
3505,sale_full,3912
3520,sale_partial,18870
3521,sale_partial,65411
3522,purchase,130322
3523,purchase,105813
3524,sale_full,405167
3525,purchase,56444
3526,purchase,24824
3527,sale_full,157283
3528,purchase,17113
3529,purchase,22852
3530,sale_full,9022
3531,sale_full,12143
3532,purchase,4701
3533,purchase,8896
3534,sale_full,12836
3535,purchase,7550
3536,sale_full,13184
3537,purchase,9678
3538,sale_full,9533
3539,purchase,9489
3540,purchase,7943
3541,purchase,12877
3542,purchase,1943
3543,purchase,6088
3544,purchase,9595
3545,sale_partial,3570
3546,purchase,2841
3547,sale_full,11716
3569,sale_full,275099
3571,sale_full,383676
3572,sale_full,146969
3573,sale_full,362760
3575,sale_full,494161
3576,sale_full,169790
3577,sale_full,169567
3595,sale_full,20886
3596,purchase,38153
3597,purchase,5855
3598,purchase,10907
3599,sale_partial,14273
3600,sale_full,12195
3601,sale_full,4310
3602,purchase,370232
3605,sale_full,471909
3606,sale_full,218169
3607,purchase,729266
3608,sale_full,283956
3609,purchase,11717
3610,purchase,9472
3611,purchase,3519
3612,purchase,45549
3613,purchase,4227
3614,purchase,2144
3615,sale_partial,8847
3616,purchase,10866
3617,purchase,5865
3618,purchase,10917
3619,purchase,2032
3620,sale_partial,5514
3621,purchase,2333
3622,purchase,5944
3623,purchase,3903
3624,sale_partial,12235
3625,purchase,8113
3626,sale_partial,10867
3627,sale_partial,6689
3628,purchase,9534
3629,sale_full,3580
3632,purchase,73306
3633,purchase,77288
3634,purchase,31991
3635,purchase,17955
3636,sale_full,45501
3637,sale_full,93476
3638,sale_full,60071
3639,sale_full,183726
3640,purchase,6424
3641,purchase,9537
3642,sale_full,47969
3643,sale_full,44482
3644,purchase,11560
3645,purchase,16975
3646,purchase,7699
3647,purchase,1448
3648,purchase,14790
3649,purchase,4363
3650,purchase,9472
3651,sale_full,130231
3652,purchase,10390
3653,purchase,38013
3654,purchase,44181
3655,purchase,11703
3656,purchase,12177
3657,purchase,26323
3658,purchase,3098
3659,sale_full,27784
3660,purchase,41081
3661,purchase,40390
3662,purchase,13686
3663,purchase,36505
3664,purchase,23969
3665,purchase,47070
3666,purchase,24769
3667,purchase,17843
3668,purchase,40227
3669,purchase,13899
3670,purchase,8899
3671,purchase,8316
3672,purchase,22959
3694,purchase,27314
3695,sale_full,18312
3696,purchase,37937
3697,purchase,11868
3698,purchase,4927
3699,purchase,10925
3700,purchase,4684
3739,sale_partial,43106
3740,sale_partial,23833
3741,purchase,11184
3742,sale_partial,35121
3743,sale_partial,12332
3744,sale_partial,17977
3745,sale_partial,46489
3746,sale_partial,71086
3747,sale_full,38107
3748,purchase,39513
3749,purchase,10779
3750,purchase,37004
3751,purchase,4190
3752,purchase,7794
3809,sale_full,7858
3810,sale_full,11736
3811,purchase,3113
3812,sale_full,34615
3813,purchase,13194
3814,purchase,13232
3815,purchase,351644
3816,sale_full,13387
3817,sale_full,1839
3818,purchase,13487
3819,sale_full,13123
3820,purchase,12412
3821,purchase,10278
3822,sale_full,10822
3823,purchase,8423
3824,sale_full,6275
3825,sale_full,11252
3826,purchase,12776
3827,sale_full,4899
3828,purchase,48554
3829,purchase,10614
3830,purchase,8195
3831,purchase,25651
3832,purchase,12903
3833,purchase,35088
3834,purchase,3564
3835,purchase,8530
3836,purchase,3677
3837,sale_partial,9341
3838,exchange,7001
3839,purchase,12119
3840,purchase,8197
3841,purchase,14423
3842,sale_partial,11182
3843,sale_partial,43333
3844,sale_partial,2576
3845,purchase,21333
3846,purchase,12817
3847,purchase,15741
3848,purchase,10553
3849,sale_partial,11356
3850,purchase,15923
3851,sale_partial,12433
3852,purchase,1309
3853,purchase,12397
3854,purchase,9194
3855,purchase,103650
3856,sale_partial,1279
3857,purchase,8270
3858,sale_partial,8647
3859,sale_partial,8501
3860,purchase,14525
3861,sale_partial,8726
3862,sale_partial,14277
3863,sale_partial,2595
3864,exchange,21664
3865,purchase,11524
3866,sale_partial,14650
3867,sale_partial,1934
3868,purchase,4887
3869,purchase,43117
3870,sale_full,9575
3871,sale_partial,10464
3872,sale_partial,2731
3873,purchase,13999
3874,purchase,12473
3875,purchase,6487
3876,purchase,13802
3877,sale_partial,1679
3878,sale_full,11343
3879,purchase,6729
3880,purchase,13424
3881,purchase,8878
3882,purchase,5564
3883,purchase,4690
3884,purchase,4216
3885,purchase,10477
3886,purchase,14000
3887,purchase,4941
3888,purchase,12069
3889,purchase,3831
3890,purchase,14543
3891,sale_full,6534
3892,purchase,2802
3893,purchase,11290
3894,purchase,9367
3895,purchase,4111
3896,purchase,13504
3897,purchase,14415
3898,purchase,14583
3899,purchase,3246
3900,sale_full,11962
3901,sale_partial,11300
3902,purchase,8964
3903,purchase,3552
3904,purchase,2167
3905,purchase,12568
3906,purchase,4980
3907,sale_full,14240
3908,purchase,9920
3909,sale_full,13575
3910,sale_partial,14077
3911,sale_partial,7248
3912,purchase,8721
3913,sale_partial,3970
3914,purchase,12026
3915,purchase,1909
3916,sale_partial,10382
3917,sale_partial,4082
3918,purchase,8654
3919,purchase,11115
3920,sale_full,5757
3921,sale_partial,13523
3922,sale_partial,3574
3923,purchase,7929
3924,purchase,52668
3925,purchase,14442
3926,purchase,8284
3927,sale_full,14648
3928,purchase,1867
3929,purchase,7135
3930,purchase,12798
3931,purchase,9117
3932,sale_full,5038
3933,purchase,5295
3934,purchase,11412
3935,purchase,4922
3936,purchase,12034
3937,purchase,24394
3938,purchase,10066
3939,purchase,9284
3940,sale_full,79922
3941,sale_full,159006
3942,sale_full,40726
3943,sale_full,13277
3944,sale_full,6122
3945,sale_full,57301
3946,sale_full,23012
3947,sale_full,31399
3948,sale_full,38795
3949,sale_full,5417
3950,sale_full,75798
3951,purchase,3118
3952,purchase,3042
3953,purchase,4748
3954,purchase,13266
3955,purchase,3806
3956,purchase,7307
3957,purchase,8723
3958,purchase,50195
3959,purchase,2302
3960,purchase,1443
3961,purchase,14683
3962,purchase,11159
3963,purchase,10458
3964,purchase,1600
3965,purchase,5927
3966,purchase,1370
3967,purchase,14890
3968,purchase,9115
3969,purchase,12257
3970,purchase,4015
3971,purchase,9905
3972,purchase,13306
3973,purchase,9784
3974,purchase,10228
3975,purchase,3633
3976,purchase,6304
3977,purchase,14372
3978,purchase,5571
3979,purchase,7128
3980,purchase,2810
3981,purchase,14925
3982,purchase,10036
3983,purchase,72281
3984,purchase,3054
3985,purchase,14405
3986,purchase,5768
3987,purchase,8467
3988,purchase,10859
3989,purchase,13818
3990,purchase,1428
3991,purchase,13501
3992,purchase,12813
3993,purchase,8980
3994,purchase,8300
3995,purchase,7071
3996,purchase,4276
3997,purchase,14847
3998,purchase,1316
3999,purchase,14865
4000,purchase,11565
4001,purchase,1463
4002,purchase,13124
4003,purchase,14271
4004,purchase,4050
4005,purchase,9384
4006,purchase,2025
4007,purchase,12091
4008,purchase,12846
4009,purchase,9489
4010,purchase,14233
4011,purchase,4857
4012,purchase,12586
4013,purchase,99285
4014,sale_full,14963
4015,purchase,9021
4016,sale_full,52394
4017,sale_full,181752
4018,sale_full,9271
4019,sale_full,77921
4020,sale_full,91807
4021,purchase,8904
4022,purchase,2586
4023,purchase,13667
4024,purchase,11563
4025,sale_full,11405
4026,purchase,5335
4027,purchase,13660
4028,purchase,5247
4029,purchase,7239
4030,purchase,13904
4031,purchase,12947
4032,purchase,8575
4033,purchase,40943
4034,purchase,13679
4035,purchase,2086
4036,purchase,8296
4037,purchase,2529
4038,purchase,9467
4039,purchase,7918
4040,purchase,12625
4041,purchase,7996
4042,purchase,9065
4043,purchase,1179
4044,purchase,3178
4045,purchase,1053
4046,purchase,12738
4047,purchase,13867
4048,purchase,10002
4049,purchase,56506
4050,purchase,4117
4051,purchase,14970
4052,purchase,5316
4229,sale_full,9714
4230,sale_full,4967
4231,purchase,10354
4232,sale_full,49082
4233,sale_full,12302
4234,purchase,4973
4235,purchase,11765
4236,purchase,2451
4237,purchase,8026
4238,sale_full,968
4239,purchase,689
4240,purchase,164
4241,purchase,45
4242,purchase,522
4243,sale_full,8360
4244,purchase,31312
4245,purchase,21811
4246,purchase,7197
4247,sale_full,29442
4248,purchase,85379
4249,purchase,84978
4250,purchase,35076
4251,sale_full,5957
4252,sale_full,3787
4253,sale_full,14646
4254,sale_full,1387
4255,sale_full,5838
4256,sale_full,12148
4257,sale_full,6908
4258,sale_full,13918
4259,sale_full,14667
4260,sale_full,5572
4261,sale_full,4497
4262,sale_full,2049
4263,sale_full,9672
4264,sale_full,5219
4265,sale_full,5796
4266,sale_full,12746
4267,sale_full,4958
4268,sale_full,3932
4269,sale_full,7514
4270,sale_full,1891
4271,sale_full,3622
4272,sale_full,13614
4273,purchase,56440
4274,sale_full,137646
4275,purchase,114236
4276,purchase,43201
4277,sale_full,89497
4278,sale_full,89501
4279,purchase,24598
4280,purchase,47084
4281,purchase,109031
4282,purchase,197603
4283,sale_full,133679
4284,sale_full,18338
4285,purchase,8752
4286,sale_partial,14256
4287,sale_partial,7368
4288,sale_partial,13799
4289,purchase,7090
4290,sale_partial,13679
4291,purchase,8714
4292,sale_partial,6797
4293,purchase,7998
4294,sale_partial,2235
4295,sale_partial,3469
4296,sale_partial,242081
4297,purchase,5538
4298,purchase,5721
4299,purchase,4750
4300,purchase,7486
4306,purchase,7480
4307,purchase,8113
4308,purchase,1615
4309,purchase,10341
4310,sale_full,37576
4311,sale_full,4991
4324,purchase,4366
4325,purchase,3577
4326,purchase,5871
4327,purchase,82680
4328,purchase,34504
4329,purchase,52769
4330,purchase,13373
4331,purchase,68905
4332,purchase,49661
4333,purchase,51093
4334,purchase,38746
4335,purchase,46304
4336,purchase,14075
4337,purchase,89617
4338,purchase,100665
4339,purchase,40217
4340,purchase,29238
4341,purchase,72910
4342,purchase,36809
4343,purchase,8429
4344,purchase,14085
4345,purchase,92963
4346,purchase,65453
4347,purchase,5279
4348,purchase,19741
4349,purchase,3322
4350,sale_full,385932
4351,purchase,12782
4352,purchase,47630
4353,purchase,246625
4354,purchase,24645
4355,purchase,21183
4356,purchase,12808
4357,purchase,16943
4358,purchase,88500
4359,purchase,79078
4360,purchase,82164
4361,purchase,94299
4362,purchase,11183
4363,purchase,43312
4364,purchase,7531
4365,purchase,76652
4366,purchase,37306
4367,purchase,14449
4368,purchase,5106
4369,purchase,47517
4370,purchase,107745
4371,purchase,8936
4372,sale_full,3681
4373,sale_full,2575
4374,sale_full,7978
4375,sale_full,13136
4376,sale_full,16310
4377,sale_full,13959
4378,sale_full,3975
4379,sale_full,7082
4380,sale_full,24769
4381,sale_full,11324
4382,sale_full,7047
4383,sale_full,8883
4384,sale_full,6038
4385,sale_full,22790
4386,sale_full,13759
4387,sale_full,11816
4388,sale_full,3836
4389,sale_full,6470
4390,sale_full,7493
4391,sale_full,2117
4392,sale_full,2480
4393,sale_full,7861
4394,sale_full,8210
4395,sale_full,5536
4396,sale_full,14046
4397,sale_full,1928
4398,sale_full,11762
4399,sale_full,13570
4400,sale_full,18279
4401,sale_full,9953
4402,sale_full,3232
4403,sale_full,9096
4404,sale_full,9363
4405,sale_full,12863
4406,sale_full,14013
4407,sale_full,14330
4408,sale_full,7971
4409,sale_full,9584
4410,sale_full,14395
4411,sale_full,1143
4412,sale_full,11499
4413,sale_full,11205
4414,sale_full,8927
4415,sale_full,3650
4416,sale_full,47938
4417,sale_full,5478
4418,purchase,104142
4419,sale_full,3928
4420,sale_full,7969
4421,sale_full,1564
4422,sale_full,7746
4423,sale_full,7653
4424,sale_full,10460
4425,sale_full,2786
4426,sale_full,7592
4427,sale_full,1623
4428,purchase,236523
4429,sale_full,3589
4430,sale_full,1254
4431,sale_full,9941
4432,sale_full,5358
4433,sale_full,3063
4434,sale_full,11346
4435,sale_full,2525
4436,sale_full,3003
4437,sale_full,22739
4438,sale_full,7850
4439,sale_full,4298
4440,sale_full,14601
4441,sale_full,10148
4442,sale_full,8323
4443,sale_full,13448
4444,sale_full,9135
4445,purchase,149738
4446,sale_full,29439
4447,sale_full,48644
4448,sale_full,4515
4449,sale_full,4227
4450,sale_full,3448
4451,sale_full,3079
4452,sale_full,5612
4453,sale_full,11636
4454,sale_full,31014
4455,sale_full,5349
4456,sale_full,8335
4457,sale_full,5462
4458,sale_full,3654
4459,sale_full,12725
4460,sale_full,12634
4461,sale_full,3434
4462,sale_full,4050
4463,sale_full,7103
4464,purchase,223883
4465,sale_full,3388
4466,sale_full,4994
4467,purchase,216557
4468,sale_full,8960
4469,sale_full,3071
4470,sale_full,1003
4471,sale_full,7816
4472,sale_full,6085
4473,sale_full,4971
4474,sale_full,13510
4475,sale_full,13313
4476,sale_full,11581
4477,sale_full,11342
4478,sale_full,14650
4479,sale_full,1783
4480,sale_full,12690
4481,sale_full,12806
4482,sale_full,30724
4483,sale_full,3390
4484,sale_full,6905
4485,sale_full,3794
4486,sale_full,8633
4487,sale_full,9561
4488,sale_full,9162
4489,sale_full,10084
4490,purchase,25918
4491,purchase,43107
4492,purchase,1281
4493,purchase,3139
4494,purchase,13577
4504,sale_partial,1829
4505,purchase,10671
4506,purchase,3507
4507,purchase,43527
4508,purchase,3404
4509,purchase,5978
4510,purchase,12428
4511,purchase,1781
4512,sale_full,1697
4513,sale_partial,6239
4514,sale_full,11427
4515,sale_full,10024
4516,purchase,22803
4517,purchase,1399
4518,purchase,6975
4519,sale_partial,10690
4520,sale_full,2322
4521,sale_full,12233
4522,purchase,16970
4523,sale_partial,5968
4524,purchase,33392
4525,purchase,61715
4526,sale_full,71617
4527,purchase,133812
4528,sale_full,74480
4529,purchase,20906
4530,purchase,64958
4531,purchase,77004
4532,purchase,59964
4533,purchase,51599
4534,purchase,69826
4535,sale_full,78238
4536,sale_full,78144
4537,sale_full,52816
4538,sale_full,81782
4539,sale_full,73015
4540,sale_full,90439
4541,sale_full,88578
4542,purchase,18041
4543,purchase,141405
4544,purchase,242316
4545,sale_full,56575
4546,sale_full,81605
4547,sale_full,121180
4548,purchase,129288
4549,sale_full,77763
4550,purchase,86118
4551,purchase,1440
4552,purchase,2686
4553,purchase,7539
4554,purchase,12104
4555,sale_full,13140
4556,purchase,9100
4557,sale_partial,13018
4558,purchase,6130
4559,sale_partial,9292
4560,sale_partial,10516
4561,purchase,24031
4562,purchase,5920
4563,purchase,2535
4564,purchase,42614
4565,sale_full,1156
4566,sale_full,10226
4567,sale_full,8293
4568,sale_full,13716
4569,sale_full,1707
4570,sale_full,13318
4571,sale_full,9408
4572,sale_full,13360
4573,sale_full,10193
4574,sale_full,3062
4575,sale_full,14038
4576,sale_full,6885
4577,sale_full,7844
4578,sale_full,8627
4579,sale_full,10033
4580,sale_full,6143
4581,sale_full,7031
4582,sale_full,9111
4583,sale_full,10957
4584,sale_full,7758
4585,sale_full,11761
4586,sale_full,9558
4587,sale_full,2270
4588,sale_full,1786
4589,sale_full,11730
4590,sale_full,9693
4591,sale_full,6938
4592,sale_full,3491
4593,sale_full,11596
4594,sale_full,10243
4595,sale_full,5803
4596,sale_full,12450
4597,sale_full,9071
4598,sale_full,6927
4599,sale_full,6566
4600,sale_full,14116
4601,sale_full,11779
4602,sale_full,12903
4603,sale_full,5099
4604,sale_full,2242
4605,sale_full,4556
4606,sale_full,11458
4607,sale_full,6968
4608,sale_full,9848
4609,sale_full,1460
4610,sale_full,8073
